,TimeSpent_minutes,Age_Range,humidity(%),Hour,TotalSpent_RM,Basket_colour,Pants_Colour,windspeed(km/h),Shirt_Colour,Day,temperature(Celcius),Body_Size,Dryer_No,Washer_No,Race
3593,40,28,74.0,5,18,10,0,12.0,7,6,28.0,0,9,6,0
2732,18,19,83.0,12,20,6,4,5.0,6,3,27.0,2,10,3,2
577,53,38,88.0,10,10,0,2,5.0,10,6,25.0,1,8,6,1
2999,11,47,90.0,7,14,5,1,6.0,2,4,26.0,0,8,5,3
3914,21,47,86.0,2,14,3,1,5.0,9,3,26.0,2,9,3,2
2578,16,47,90.0,1,7,5,2,5.0,10,2,26.0,2,9,6,0
3064,31,46,86.0,5,15,10,4,6.0,0,5,26.0,1,10,3,0
270,24,55,84.0,14,16,2,2,4.0,8,3,25.0,1,7,3,1
170,11,50,85.0,13,13,4,6,6.0,9,6,27.0,0,8,4,0
1965,52,40,74.0,10,19,7,7,6.0,6,5,27.0,0,9,6,0
2328,25,53,87.0,12,10,10,11,5.0,10,6,25.0,0,7,3,1
3937,41,48,84.0,2,21,0,3,4.0,5,6,27.0,1,9,4,3
2489,51,29,74.0,23,8,3,1,10.0,9,1,28.0,2,7,4,1
674,17,34,90.0,2,10,0,6,4.0,5,7,26.0,1,9,5,1
3193,52,22,85.0,21,11,8,1,8.0,7,7,26.0,1,10,4,2
3855,54,30,81.0,1,17,0,1,5.0,2,3,27.0,2,7,3,2
3566,16,40,79.0,22,10,5,10,7.0,2,6,27.0,1,9,5,1
1661,26,47,77.0,2,11,2,10,6.0,5,3,26.0,1,10,3,2
3580,46,20,86.0,9,17,10,11,4.0,3,5,26.0,2,10,5,3
1854,21,54,80.0,23,17,6,2,7.0,8,6,26.0,2,7,6,3
3866,17,59,83.0,1,12,9,3,4.0,2,6,26.0,1,8,4,0
2551,24,18,91.0,1,16,0,3,5.0,6,6,26.0,2,10,4,0
3687,42,29,73.0,9,15,1,6,5.0,0,1,28.0,1,9,5,0
2847,35,37,84.0,21,8,8,8,7.0,2,1,27.0,1,7,4,2
1815,43,18,78.0,15,15,7,6,7.0,8,7,26.0,1,7,5,3
253,39,41,73.0,20,10,6,9,6.0,2,3,25.0,2,10,5,0
1260,19,20,86.0,2,10,4,2,5.0,1,1,26.0,0,7,6,0
2777,37,21,91.0,9,14,0,0,4.0,2,5,26.0,1,10,5,1
3273,47,43,89.0,3,11,4,5,5.0,9,2,25.0,0,7,4,1
1724,44,55,85.0,9,21,9,1,9.0,7,3,27.0,1,7,3,3
295,46,54,84.0,22,18,2,0,4.0,10,3,25.0,1,8,4,1
