,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len
416,"frozenset({'no_spec', 'casual_attire'})",frozenset({'yes_buyDrink'}),0.24050632911392406,0.8209764918625678,0.2206148282097649,0.9172932330827067,1.1173197310456757,0.023164785863071385,2.164556962025315,2
602,"frozenset({'big_basket', 'no_spec', 'clothes_item'})",frozenset({'yes_buyDrink'}),0.2224231464737794,0.8209764918625678,0.2007233273056058,0.9024390243902439,1.0992263887396583,0.018119152804528305,1.8349909584086803,3
402,"frozenset({'big_basket', 'casual_attire'})",frozenset({'yes_buyDrink'}),0.2513562386980108,0.8209764918625678,0.2224231464737794,0.8848920863309354,1.077853135993408,0.016065583419716256,1.5552667269439442,2
362,"frozenset({'no_spec', 'female'})",frozenset({'yes_buyDrink'}),0.25678119349005424,0.8209764918625678,0.22603978300180833,0.8802816901408451,1.072237389092263,0.015228459594060356,1.4953728326773752,2
278,"frozenset({'no_spec', '31-50age'})",frozenset({'yes_buyDrink'}),0.27486437613019893,0.8209764918625678,0.24050632911392406,0.875,1.0658039647577093,0.014849137860560024,1.4321880650994574,2
572,"frozenset({'yes_buyDrink', 'chinese_race'})",frozenset({'rain'}),0.22965641952983726,0.8083182640144665,0.2007233273056058,0.8740157480314961,1.0812767531575331,0.015087848951469723,1.5214737793851723,2
388,"frozenset({'female', 'clothes_item'})",frozenset({'yes_buyDrink'}),0.25678119349005424,0.8209764918625678,0.22423146473779385,0.8732394366197184,1.0636594899795249,0.013420141330045876,1.412296564195299,2
126,"frozenset({'big_basket', 'clothes_item'})",frozenset({'yes_buyDrink'}),0.325497287522604,0.8209764918625678,0.28390596745027125,0.8722222222222222,1.0624204601076848,0.01668034622918224,1.4010535419451215,2
436,"frozenset({'big_basket', 'clothes_item', 'rain'})",frozenset({'yes_buyDrink'}),0.24954792043399637,0.8209764918625678,0.21699819168173598,0.8695652173913043,1.0591840643554875,0.012125215412234436,1.3725135623869797,3
102,"frozenset({'big_basket', 'no_spec'})",frozenset({'yes_buyDrink'}),0.3399638336347197,0.8209764918625678,0.29475587703435807,0.8670212765957448,1.0560853875714689,0.015653561536776217,1.3462567811934911,2
252,frozenset({'chinese_race'}),frozenset({'rain'}),0.2820976491862568,0.8083182640144665,0.244122965641953,0.8653846153846153,1.0705988642230253,0.016098283569155908,1.4239214673211051,1
370,"frozenset({'clothes_item', 'casual_attire'})",frozenset({'yes_buyDrink'}),0.2603978300180832,0.8209764918625678,0.22423146473779385,0.861111111111111,1.0488864415075867,0.010450967760922636,1.2889692585895112,2
35,frozenset({'casual_attire'}),frozenset({'yes_buyDrink'}),0.4267631103074141,0.8209764918625678,0.3670886075949367,0.8601694915254238,1.0477394907787652,0.016726126438397826,1.2802893309222425,1
492,"frozenset({'blankets_item', 'male'})",frozenset({'yes_buyDrink'}),0.2423146473779385,0.8209764918625678,0.20795660036166366,0.8582089552238806,1.0453514366493524,0.009021971230408543,1.2625868468639956,2
283,"frozenset({'big_basket', 'no_spec', 'rain'})",frozenset({'yes_buyDrink'}),0.28028933092224234,0.8209764918625678,0.24050632911392406,0.8580645161290322,1.045175500923689,0.010395377506875192,1.26130198915009,3
136,"frozenset({'casual_attire', 'rain'})",frozenset({'yes_buyDrink'}),0.32730560578661844,0.8209764918625678,0.28028933092224234,0.8563535911602211,1.0430914887920755,0.011579122916591744,1.246279037418279,2
3,frozenset({'no_spec'}),frozenset({'yes_buyDrink'}),0.5533453887884268,0.8209764918625678,0.47377938517179025,0.8562091503267975,1.0429155509487202,0.019495829095939,1.2450271247739606,1
24,"frozenset({'no_spec', 'rain'})",frozenset({'yes_buyDrink'}),0.45207956600361665,0.8209764918625678,0.38517179023508136,0.852,1.0377885462555065,0.014025094094680002,1.209618298225893,2
116,"frozenset({'no_spec', 'clothes_item'})",frozenset({'yes_buyDrink'}),0.3453887884267631,0.8209764918625678,0.29294755877034356,0.8481675392670156,1.0331203727195146,0.009391482919076932,1.1790858639396387,2
318,"frozenset({'yes_buyDrink', '2basket'})",frozenset({'rain'}),0.2766726943942134,0.8083182640144665,0.2332730560578662,0.8431372549019608,1.0430758433127167,0.009633464024930621,1.2219710669077761,2
458,"frozenset({'big_basket', 'female'})",frozenset({'yes_buyDrink'}),0.25316455696202533,0.8209764918625678,0.21338155515370705,0.8428571428571427,1.0266519823788545,0.005539405315082263,1.1392405063291131,2
540,frozenset({'washer_4'}),frozenset({'yes_buyDrink'}),0.24050632911392406,0.8209764918625678,0.20253164556962025,0.8421052631578947,1.0257361465337351,0.005081603222926723,1.13381555153707,1
534,"frozenset({'yes_buyDrink', 'formal_attire'})",frozenset({'rain'}),0.24050632911392406,0.8083182640144665,0.20253164556962025,0.8421052631578947,1.0417991286942188,0.008125987135761209,1.2139843279083786,2
196,frozenset({'formal_attire'}),frozenset({'rain'}),0.3037974683544304,0.8083182640144665,0.2549728752260398,0.8392857142857143,1.0383109619686801,0.0094078329937968,1.1926863572433197,1
358,frozenset({'traditional_attire'}),frozenset({'rain'}),0.2694394213381555,0.8083182640144665,0.22603978300180833,0.8389261744966443,1.0378661621848866,0.008246977688688067,1.1900241109101872,1
6,frozenset({'big_basket'}),frozenset({'yes_buyDrink'}),0.5497287522603979,0.8209764918625678,0.46112115732368897,0.8388157894736842,1.0217293647113377,0.009806774816960906,1.1106764586485587,1
132,frozenset({'2basket'}),frozenset({'rain'}),0.33634719710669075,0.8083182640144665,0.2820976491862568,0.838709677419355,1.0375983257559358,0.010222066714844935,1.1884267631103087,1
48,frozenset({'blankets_item'}),frozenset({'rain'}),0.43399638336347196,0.8083182640144665,0.36347197106690776,0.8375,1.0361017897091724,0.012664767877989203,1.1795799137571295,1
209,"frozenset({'big_basket', '31-50age'})",frozenset({'yes_buyDrink'}),0.30018083182640143,0.8209764918625678,0.2513562386980108,0.8373493975903614,1.0199432089591847,0.004914832460784335,1.1006630500301384,2
202,"frozenset({'clothes_item', '31-50age'})",frozenset({'yes_buyDrink'}),0.30018083182640143,0.8209764918625678,0.2513562386980108,0.8373493975903614,1.0199432089591847,0.004914832460784335,1.1006630500301384,2
96,"frozenset({'yes_buyDrink', 'blankets_item'})",frozenset({'rain'}),0.352622061482821,0.8083182640144665,0.29475587703435807,0.8358974358974359,1.0341191992198704,0.009725024443361763,1.168060578661845,2
