,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,rain_or_not,temperature(Celcius),humidity(%),windspeed(km/h),dateTime
0,2015-10-19,1900-01-01 20:17:50,malay,male,moderate,28,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,20,2,9,2.91231642,101.6579478,1,1,26.370833333333334,83.20833333333333,4.866666666666667,2015-10-19 20:17:50
1,2015-10-19,1900-01-01 20:28:42,indian,male,thin,32,no,no_kids,big,purple,casual,white,short_sleeve,blue_jeans,long,clothes,6,9,no,19,4,21,2.922506027,101.6431294,3,1,26.59583333333333,82.375,4.866666666666667,2015-10-19 20:28:42
2,2015-10-19,1900-01-01 20:58:31,malay,female,moderate,30,no,no_kids,big,blue,casual,red,short_sleeve,black,long,clothes,4,10,no,18,2,13,2.93553339,101.7371698,1,1,26.17083333333333,83.20833333333333,4.866666666666667,2015-10-19 20:58:31
3,2015-10-19,1900-01-01 21:31:28,indian,male,thin,51,no,no_kids,small,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,13,2,16,2.949923904,101.637069,1,1,26.695833333333336,82.375,6.308333333333333,2015-10-19 21:31:28
4,2015-10-19,1900-01-01 21:40:28,indian,male,thin,34,no,no_kids,big,blue,casual,blue,short_sleeve,white,long,clothes,3,9,no,15,1,13,2.903529733,101.6612493,3,1,26.320833333333336,83.20833333333333,4.866666666666667,2015-10-19 21:40:28
5,2015-10-19,1900-01-01 23:45:38,chinese,male,fat,50,no,no_kids,small,pink,casual,brown,short_sleeve,blue_jeans,long,clothes,4,8,no,35,5,16,2.928514231,101.72064,3,1,26.120833333333334,83.20833333333333,4.866666666666667,2015-10-19 23:45:38
6,2015-10-19,1900-01-01 23:53:38,chinese,female,fat,45,no,no_kids,big,pink,traditional,blue,short_sleeve,black,long,clothes,5,10,no,30,3,17,2.970783341,101.6744587,2,1,26.15416666666667,84.70833333333333,4.866666666666667,2015-10-19 23:53:38
7,2015-10-20,1900-01-01 00:24:01,indian,male,thin,49,no,no_kids,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,no,46,0,16,2.951176457,101.7465264,3,0,26.729166666666668,77.75,7.4875,2015-10-20 00:24:01
8,2015-10-20,1900-01-01 00:45:19,indian,male,thin,30,no,no_kids,small,purple,casual,purple,short_sleeve,black,short,clothes,6,10,no,60,4,17,2.955301618,101.7039608,2,0,26.791666666666668,77.75,7.4875,2015-10-20 00:45:19
9,2015-10-20,1900-01-01 01:17:50,chinese,male,moderate,33,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,clothes,5,7,no,23,0,10,2.9086064,101.6668225,3,0,27.01666666666667,77.29166666666667,9.1375,2015-10-20 01:17:50
