,support,itemsets,length
47,0.38517179023508136,"frozenset({'yes_buyDrink', 'no_spec', 'rain'})",3
66,0.3670886075949367,"frozenset({'big_basket', 'yes_buyDrink', 'rain'})",3
43,0.36528028933092227,"frozenset({'yes_buyDrink', 'clothes_item', 'rain'})",3
55,0.35985533453887886,"frozenset({'yes_buyDrink', 'male', 'rain'})",3
83,0.3399638336347197,"frozenset({'yes_buyDrink', 'rain', '31-50age'})",3
128,0.30018083182640143,"frozenset({'yes_buyDrink', 'female', 'rain'})",3
194,0.29475587703435807,"frozenset({'yes_buyDrink', 'blankets_item', 'rain'})",3
67,0.29475587703435807,"frozenset({'big_basket', 'no_spec', 'yes_buyDrink'})",3
159,0.29294755877034356,"frozenset({'small_basket', 'yes_buyDrink', 'rain'})",3
48,0.29294755877034356,"frozenset({'yes_buyDrink', 'no_spec', 'clothes_item'})",3
70,0.28390596745027125,"frozenset({'big_basket', 'clothes_item', 'yes_buyDrink'})",3
101,0.28028933092224234,"frozenset({'yes_buyDrink', 'casual_attire', 'rain'})",3
68,0.28028933092224234,"frozenset({'big_basket', 'no_spec', 'rain'})",3
177,0.27486437613019893,"frozenset({'yes_spec', 'yes_buyDrink', 'rain'})",3
49,0.2730560578661845,"frozenset({'no_spec', 'clothes_item', 'rain'})",3
87,0.2513562386980108,"frozenset({'yes_buyDrink', 'clothes_item', '31-50age'})",3
84,0.2513562386980108,"frozenset({'big_basket', 'yes_buyDrink', '31-50age'})",3
71,0.24954792043399637,"frozenset({'big_basket', 'clothes_item', 'rain'})",3
75,0.24773960216998192,"frozenset({'big_basket', 'yes_buyDrink', 'male'})",3
58,0.24773960216998192,"frozenset({'yes_buyDrink', 'no_spec', 'male'})",3
57,0.244122965641953,"frozenset({'yes_buyDrink', 'clothes_item', 'male'})",3
88,0.244122965641953,"frozenset({'clothes_item', 'rain', '31-50age'})",3
56,0.244122965641953,"frozenset({'male', 'clothes_item', 'rain'})",3
85,0.2423146473779385,"frozenset({'big_basket', 'rain', '31-50age'})",3
59,0.2423146473779385,"frozenset({'no_spec', 'male', 'rain'})",3
90,0.24050632911392406,"frozenset({'yes_buyDrink', 'no_spec', '31-50age'})",3
143,0.23688969258589512,"frozenset({'yes_buyDrink', 'rain', 'moderate_bodySize'})",3
186,0.23508137432188064,"frozenset({'yes_buyDrink', 'toddler_kids', 'rain'})",3
76,0.23508137432188064,"frozenset({'big_basket', 'male', 'rain'})",3
164,0.2332730560578662,"frozenset({'2basket', 'yes_buyDrink', 'rain'})",3
181,0.22965641952983726,"frozenset({'yes_buyDrink', '41-55mins_timespent', 'rain'})",3
91,0.22784810126582278,"frozenset({'no_spec', 'rain', '31-50age'})",3
129,0.22603978300180833,"frozenset({'yes_buyDrink', 'no_spec', 'female'})",3
102,0.22423146473779385,"frozenset({'yes_buyDrink', 'clothes_item', 'casual_attire'})",3
93,0.22423146473779385,"frozenset({'male', 'rain', '31-50age'})",3
92,0.22423146473779385,"frozenset({'yes_buyDrink', 'male', '31-50age'})",3
131,0.22423146473779385,"frozenset({'yes_buyDrink', 'female', 'clothes_item'})",3
72,0.2224231464737794,"frozenset({'big_basket', 'no_spec', 'clothes_item'})",3
103,0.2224231464737794,"frozenset({'big_basket', 'casual_attire', 'yes_buyDrink'})",3
105,0.2206148282097649,"frozenset({'yes_buyDrink', 'no_spec', 'casual_attire'})",3
148,0.21699819168173598,"frozenset({'yes_buyDrink', 'rain', '1basket'})",3
109,0.21518987341772153,"frozenset({'yes_buyDrink', 'rain', 'thin_bodySize'})",3
133,0.21338155515370705,"frozenset({'big_basket', 'female', 'yes_buyDrink'})",3
112,0.20976491862567812,"frozenset({'3basket', 'yes_buyDrink', 'rain'})",3
130,0.20976491862567812,"frozenset({'no_spec', 'female', 'rain'})",3
195,0.20795660036166366,"frozenset({'yes_buyDrink', 'blankets_item', 'male'})",3
169,0.20795660036166366,"frozenset({'yes_buyDrink', 'fat_bodySize', 'rain'})",3
134,0.20433996383363473,"frozenset({'big_basket', 'female', 'rain'})",3
160,0.20433996383363473,"frozenset({'small_basket', 'yes_buyDrink', 'male'})",3
178,0.20433996383363473,"frozenset({'yes_spec', 'yes_buyDrink', 'male'})",3
161,0.20433996383363473,"frozenset({'small_basket', 'male', 'rain'})",3
137,0.20253164556962025,"frozenset({'yes_buyDrink', 'formal_attire', 'rain'})",3
151,0.2007233273056058,"frozenset({'yes_buyDrink', 'chinese_race', 'rain'})",3
104,0.2007233273056058,"frozenset({'big_basket', 'casual_attire', 'rain'})",3
132,0.2007233273056058,"frozenset({'female', 'clothes_item', 'rain'})",3
115,0.2007233273056058,"frozenset({'yes_buyDrink', '<=25mins_timespent', 'rain'})",3
